Clan Tag,Tag,league,builderBaseLeague,role,attackWins,defenseWins,townHallLevel,name,expLevel,trophies,bestTrophies,donations,donationsReceived,builderHallLevel,builderBaseTrophies,bestBuilderBaseTrophies,warStars,clanCapitalContributions
%23UQ0PVPU2,%239RRRPCRG0,Legend League,Platinum League III,coLeader,31,3,16,Baas,234,5021,5594,366,1375,10,4519,5119,1152,909290
%23UQ0PVPU2,%2390QJPJYV,Legend League,Platinum League II,leader,61,2,16,⚡Zartek⚡,249,5255,5623,1185,1399,10,4658,4960,1403,3638598
%23UQ0PVPU2,%23LJRPCJVUV,Titan League I,Platinum League III,coLeader,23,2,16,Leev,227,4963,5336,645,1954,10,4514,4667,1405,957100
%23UQ0PVPU2,%239R99CUQP,Legend League,Titanium League III,admin,29,1,13,heineken,203,4968,5017,428,124,9,3827,4028,792,1126868
%23UQ0PVPU2,%23YCQYJY0QG,Titan League I,Titanium League II,admin,21,3,14,♠️JAKES♥️,211,4922,5316,782,288,9,4021,4301,761,1643744
%23UQ0PVPU2,%23G0R0L289Y,Titan League I,Steel League II,member,52,2,13,george,148,4874,5101,0,47,9,3485,3703,339,1000833
%23UQ0PVPU2,%23RVJY2RG,Titan League I,Titanium League II,coLeader,16,10,15,40RUDI,239,4919,5112,775,415,10,4019,4299,1337,1538484
%23UQ0PVPU2,%23UQ9R2C0V,Titan League I,Platinum League II,coLeader,10,3,16,Death101,228,4798,5186,293,0,10,4775,5061,2066,2251533
%23UQ0PVPU2,%23Y898GP0P2,Titan League I,Steel League I,member,11,2,14,red eagle 2,202,4760,5134,47,48,10,3703,3703,973,1387123
%23UQ0PVPU2,%232L8VUJC88,Titan League II,Steel League II,admin,9,0,14,Ruan,205,4440,5076,153,0,9,3580,3639,920,904918
%23UQ0PVPU2,%23YGY2J8GU,Titan League II,Steel League I,admin,30,3,16,Fanus,220,4358,4421,30,0,10,3778,3953,1963,1630626
%23UQ0PVPU2,%23ULVRCUUC,Titan League III,Titanium League III,admin,7,2,16,NumSkull,228,4203,5004,150,0,10,3897,4566,2051,1921701
%23UQ0PVPU2,%239Q0G8UVU,Titan League III,Platinum League I,admin,8,1,14,Swagger,218,4224,4920,30,0,10,4991,5346,1960,2076393
%23UQ0PVPU2,%2329RCY8LQU,Titan League III,Titanium League II,member,9,3,15,Jana,221,4253,4824,150,0,10,4053,4866,1441,2031497
%23UQ0PVPU2,%232UU9RJC,Titan League III,Titanium League III,coLeader,8,15,15,Henry the king,233,4206,5013,139,0,10,3987,5248,2479,925120
%23UQ0PVPU2,%23PUJQ9PVLV,Titan League III,Titanium League III,member,14,1,14,Wolfgang,201,4058,4695,75,94,10,3919,4665,834,943542
%23UQ0PVPU2,%23VJCG9GC8,Champion League I,Titanium League II,admin,3,2,14,Hurricane,203,3911,4026,45,78,10,4071,4198,1381,1347461
%23UQ0PVPU2,%23YQQR98JCU,Champion League I,Titanium League II,admin,20,3,14,Dana,186,3766,5029,145,1104,10,4187,4629,321,947248
%23UQ0PVPU2,%232L8P9U0P2,Champion League I,Steel League I,admin,37,1,13,kobus,190,3818,3822,1170,1646,10,3620,3922,298,398811
%23UQ0PVPU2,%238UVGPPPU9,Champion League II,Iron League I,admin,5,1,12,QUICKLY₩,160,3652,3831,270,0,8,3026,3296,279,823052
%23UQ0PVPU2,%232R2LLLC0L,Champion League II,Titanium League III,admin,11,1,13,Sonbesie,177,3657,3709,83,0,10,3997,4091,546,726341
%23UQ0PVPU2,%23CG0JR2V2,Champion League II,Titanium League II,coLeader,3,3,16,King Andrew,217,3645,4279,103,0,10,4117,4128,1456,1359630
%23UQ0PVPU2,%232RGPPCUUJ,Champion League II,Iron League III,coLeader,1,0,12,Bagems,173,3575,4296,48,72,8,2627,2733,578,1019987
%23UQ0PVPU2,%23JR2LVG2R,Champion League II,Platinum League II,coLeader,0,1,15,KamiKaZi,237,3464,5183,0,0,10,4745,5303,1988,1807690
%23UQ0PVPU2,%238UPC0JL9,Champion League II,Titanium League II,admin,1,2,14,SHOTGUNK2,214,3514,4088,159,96,10,4194,4744,2281,1612083
%23UQ0PVPU2,%232U2JLQQYU,Champion League II,Titanium League III,member,2,0,13,Deon,190,3475,3712,93,47,9,3892,4398,571,183227
%23UQ0PVPU2,%23LC2UY0PRU,Champion League III,Titanium League I,admin,1,0,14,Deon,196,3466,4042,127,174,10,4226,4330,852,1212057
%23UQ0PVPU2,%2329VPYQYV,Champion League III,Titanium League III,admin,11,3,13,BLAZE,204,3413,3601,376,77,10,3850,4056,874,1527504
%23UQ0PVPU2,%23QJ9RRU9P9,Champion League III,Steel League III,coLeader,65,10,13,Jakkals,173,3325,5042,1489,1196,9,3396,3693,273,1405097
%23UQ0PVPU2,%2328RQ0Y8VR,Unranked,Steel League II,admin,0,0,13,martin,200,3282,3355,169,90,10,3528,3697,2051,1173531
